Respondent_ID,Age_Group,Education_Level,Employment_Sector,Gender,Tech_Familiarity,Perceived_AI_Risk,Perceived_AI_Benefit,Ethical_Concern_Level,Privacy_Worry,Trust_Healthcare_AI,Trust_Workplace_AI,Trust_Financial_AI,Trust_Score_1_to_10,High_AI_Trust,Survey_Weight
RESP_1000,30-44,Master's,Healthcare,Female,Novice,1,3,3,3,6,5,5,6.5,1,1.1843
RESP_1001,60+,High School,Tech/Engineering,Male,Novice,1,4,3,4,8,8,5,6.4,1,0.8938
RESP_1002,45-59,High School,Education,Female,Advanced,3,2,3,1,3,5,4,3.5,0,0.6453
RESP_1003,30-44,Bachelor's,Healthcare,Female,Novice,5,4,1,3,-9,3,6,4.0,0,0.9639
RESP_1004,18-29,Bachelor's,Finance,Female,Advanced,5,1,1,2,7,6,6,2.4,0,1.4856
RESP_1005,18-29,Master's,Finance,Female,Intermediate,3,5,1,2,9,7,3,7.0,1,0.7641
RESP_1006,18-29,Bachelor's,Healthcare,Male,Novice,4,4,1,4,7,3,9,4.1,0,1.0749
RESP_1007,60+,Bachelor's,Healthcare,Female,Advanced,1,2,5,3,5,6,4,8.7,1,0.6077
RESP_1008,45-59,Bachelor's,Other,Male,Novice,1,1,2,5,4,5,1,2.5,0,0.7098
RESP_1009,45-59,PhD,Education,Non-Binary/Other,Advanced,3,4,5,3,5,6,4,9.3,1,1.1285
RESP_1010,18-29,Bachelor's,Finance,Male,Novice,3,3,3,4,8,6,7,5.5,0,0.8677
RESP_1011,60+,Bachelor's,Tech/Engineering,Female,Advanced,4,5,5,5,5,4,5,7.5,1,1.4151
RESP_1012,45-59,High School,Education,Female,Novice,5,1,4,5,8,5,2,1.0,0,0.9656
RESP_1013,18-29,Master's,Tech/Engineering,Male,Intermediate,2,-9,1,2,7,4,3,8.0,1,0.7872
RESP_1014,18-29,Bachelor's,Education,Female,Intermediate,5,1,4,3,9,5,3,1.2,0,1.091
RESP_1015,18-29,Bachelor's,Other,Female,Advanced,1,3,4,5,6,3,4,7.8,1,1.3155
RESP_1016,30-44,High School,Healthcare,Male,Advanced,3,2,3,4,6,4,5,4.4,0,0.6175
RESP_1017,30-44,Bachelor's,Tech/Engineering,Male,Advanced,4,4,1,2,8,4,6,5.3,0,1.055
RESP_1018,30-44,Bachelor's,Tech/Engineering,Male,Advanced,5,1,4,5,4,6,6,3.3,0,1.2961
RESP_1019,30-44,Bachelor's,Healthcare,Female,Novice,4,1,3,3,5,2,6,3.8,0,0.6932
RESP_1020,45-59,PhD,Tech/Engineering,Male,Novice,5,1,1,2,3,5,9,2.6,0,1.4125
RESP_1021,18-29,High School,Tech/Engineering,Female,Novice,1,2,2,3,3,3,7,6.3,1,0.8381
RESP_1022,30-44,Bachelor's,Public Sector,Female,Intermediate,2,1,3,3,10,4,7,3.5,0,0.7535
RESP_1023,30-44,PhD,Education,Male,Intermediate,4,5,5,3,7,4,1,7.1,1,1.1303
RESP_1024,30-44,Bachelor's,Healthcare,Female,Intermediate,4,5,1,2,3,5,4,4.0,0,0.7575
RESP_1025,45-59,Bachelor's,Other,Female,Novice,2,1,4,5,8,5,2,2.2,0,1.2117
RESP_1026,18-29,Bachelor's,Tech/Engineering,Female,Intermediate,4,5,4,1,5,7,4,5.2,0,1.0411
RESP_1027,30-44,Bachelor's,Other,Male,Novice,4,4,5,5,7,6,7,3.5,0,0.699
RESP_1028,30-44,PhD,Healthcare,Male,Intermediate,5,5,5,2,7,2,4,5.1,0,1.4212
RESP_1029,18-29,Bachelor's,Public Sector,Male,Intermediate,5,1,4,1,9,3,8,1.0,0,1.2059
RESP_1030,45-59,Master's,Finance,Male,Intermediate,2,3,1,1,5,5,7,5.7,0,1.0914
RESP_1031,18-29,Bachelor's,Public Sector,Female,Intermediate,-9,4,3,1,5,5,5,6.8,1,0.9369
RESP_1032,18-29,Bachelor's,Other,Female,Intermediate,4,2,5,4,1,3,8,1.3,0,0.7214
RESP_1033,60+,High School,Healthcare,Female,Novice,1,1,5,2,6,8,8,1.0,0,1.2368
RESP_1034,60+,Bachelor's,Other,Female,Intermediate,2,2,5,4,7,7,6,2.4,0,1.3323
RESP_1035,45-59,Bachelor's,Healthcare,Male,Novice,2,3,2,1,8,1,6,3.5,0,0.7132
RESP_1036,30-44,Master's,Healthcare,Male,Intermediate,5,2,1,4,9,6,7,3.9,0,1.0451
RESP_1037,18-29,Bachelor's,Healthcare,Female,Intermediate,4,1,1,4,7,5,2,1.9,0,1.0364
RESP_1038,45-59,PhD,Education,Female,Novice,3,1,1,2,7,8,5,3.3,0,0.9149
RESP_1039,30-44,High School,Tech/Engineering,Female,Novice,2,3,1,3,6,2,5,3.5,0,1.3104
RESP_1040,18-29,Master's,Education,Female,Advanced,4,1,1,4,7,10,5,1.7,0,0.6896
RESP_1041,30-44,Master's,Education,Male,Advanced,1,3,4,4,4,3,4,8.7,1,0.7845
RESP_1042,18-29,Master's,Public Sector,Female,Intermediate,5,-9,5,1,3,6,7,5.5,0,0.6014
RESP_1043,60+,Master's,Public Sector,Female,Novice,1,1,4,1,4,4,6,3.9,0,0.9357
RESP_1044,30-44,Master's,Education,Male,Novice,2,5,2,1,6,4,6,6.9,1,0.8621
RESP_1045,45-59,Bachelor's,Healthcare,Female,Intermediate,2,3,3,5,3,1,8,5.4,0,1.3803
