Respondent_ID,Age_Group,Education_Degree,Income_Quartile,Political_Views,General_Happiness,Trust_Government,Trust_Press,Trust_Science,High_Institutional_Trust,Survey_Weight
GSS_2000,30-44,High School,Q4 (High),Liberal,Very Happy,4,2,3,1,0.7038
GSS_2001,45-59,Graduate,Q2 (Mid-Low),Moderate,Very Happy,1,1,2,0,1.5323
GSS_2002,18-29,High School,Q4 (High),Moderate,Pretty Happy,1,2,2,0,0.7926
GSS_2003,18-29,Junior College,Q3 (Mid-High),Moderate,Pretty Happy,4,1,5,1,0.6768
GSS_2004,45-59,High School,Q4 (High),Moderate,Not Too Happy,4,3,5,1,0.7467
GSS_2005,60+,Lt High School,Q1 (Low),Extremely Conservative,Not Too Happy,2,4,3,0,0.949
GSS_2006,30-44,Lt High School,Q4 (High),Extremely Liberal,Pretty Happy,1,2,-9,0,0.5984
GSS_2007,60+,Graduate,Q1 (Low),Liberal,Pretty Happy,4,-9,2,0,0.8742
GSS_2008,45-59,Graduate,Q1 (Low),Extremely Conservative,Very Happy,3,5,1,0,0.8887
GSS_2009,18-29,High School,Q3 (Mid-High),Liberal,Not Too Happy,-9,1,3,0,1.0623
GSS_2010,45-59,Bachelor,Q2 (Mid-Low),Moderate,Very Happy,3,2,1,0,0.9136
GSS_2011,30-44,Junior College,Q3 (Mid-High),Extremely Liberal,Pretty Happy,-9,2,-9,0,1.1457
GSS_2012,18-29,High School,Q4 (High),Moderate,Pretty Happy,3,3,4,1,0.8945
GSS_2013,45-59,Bachelor,Q2 (Mid-Low),Conservative,Pretty Happy,2,5,1,0,0.5553
GSS_2014,60+,High School,Q4 (High),Liberal,Very Happy,1,2,2,0,1.1047
GSS_2015,30-44,Lt High School,Q1 (Low),Moderate,Pretty Happy,3,1,2,0,1.1996
GSS_2016,18-29,High School,Q1 (Low),Conservative,Very Happy,5,2,-9,1,1.34
GSS_2017,45-59,Graduate,Q1 (Low),Liberal,Very Happy,2,1,2,0,0.5026
GSS_2018,45-59,Lt High School,Q2 (Mid-Low),Liberal,Pretty Happy,5,3,4,1,0.6922
GSS_2019,30-44,Lt High School,Q4 (High),Extremely Liberal,Pretty Happy,5,-9,2,1,0.7887
GSS_2020,45-59,High School,Q1 (Low),Extremely Conservative,Very Happy,3,1,1,0,0.6791
GSS_2021,30-44,High School,Q4 (High),Extremely Conservative,Pretty Happy,2,2,5,1,0.7563
GSS_2022,18-29,High School,Q4 (High),Moderate,Pretty Happy,4,1,5,1,0.7842
GSS_2023,18-29,Bachelor,Q1 (Low),Conservative,Pretty Happy,4,4,5,1,0.8483
GSS_2024,18-29,High School,Q2 (Mid-Low),Liberal,Very Happy,1,2,2,0,1.4211
GSS_2025,60+,Junior College,Q3 (Mid-High),Extremely Liberal,Not Too Happy,-9,1,5,1,1.4822
GSS_2026,30-44,Junior College,Q3 (Mid-High),Conservative,Not Too Happy,1,3,1,0,1.0092
GSS_2027,45-59,High School,Q3 (Mid-High),Conservative,Not Too Happy,4,1,1,0,0.7609
GSS_2028,45-59,High School,Q1 (Low),Moderate,Very Happy,3,4,5,1,1.1624
GSS_2029,30-44,High School,Q2 (Mid-Low),Liberal,Pretty Happy,-9,4,5,1,1.3391
GSS_2030,60+,High School,Q3 (Mid-High),Conservative,Pretty Happy,2,1,5,1,1.0155
GSS_2031,45-59,High School,Q4 (High),Conservative,Pretty Happy,5,3,3,1,0.6006
GSS_2032,30-44,High School,Q3 (Mid-High),Conservative,Not Too Happy,1,3,3,0,0.8471
GSS_2033,30-44,Lt High School,Q2 (Mid-Low),Conservative,Pretty Happy,5,2,3,1,1.4828
GSS_2034,60+,High School,Q4 (High),Extremely Liberal,Pretty Happy,4,4,2,0,0.5067
GSS_2035,30-44,High School,Q3 (Mid-High),Extremely Liberal,Very Happy,2,5,5,1,1.4327
GSS_2036,60+,Bachelor,Q4 (High),Liberal,Very Happy,3,5,5,1,1.3005
GSS_2037,60+,Graduate,Q1 (Low),Extremely Conservative,Pretty Happy,3,1,4,1,1.1613
GSS_2038,30-44,Bachelor,Q4 (High),Liberal,Not Too Happy,5,5,4,1,1.354
GSS_2039,60+,Graduate,Q1 (Low),Conservative,Pretty Happy,5,5,4,1,0.5394
GSS_2040,18-29,High School,Q1 (Low),Liberal,Pretty Happy,3,5,-9,0,0.9134
GSS_2041,18-29,High School,Q2 (Mid-Low),Conservative,Not Too Happy,5,3,5,1,0.8454
GSS_2042,45-59,High School,Q1 (Low),Moderate,Pretty Happy,-9,4,2,0,0.8095
GSS_2043,60+,High School,Q4 (High),Conservative,Pretty Happy,2,3,5,1,0.7669
GSS_2044,18-29,Graduate,Q4 (High),Liberal,Very Happy,1,5,3,0,1.1839
GSS_2045,30-44,Bachelor,Q3 (Mid-High),Conservative,Pretty Happy,1,3,4,0,0.9843
GSS_2046,45-59,High School,Q3 (Mid-High),Extremely Conservative,Pretty Happy,1,4,4,0,1.5534
GSS_2047,18-29,Graduate,Q2 (Mid-Low),Moderate,Pretty Happy,1,2,5,0,0.7143
GSS_2048,45-59,Bachelor,Q3 (Mid-High),Extremely Liberal,Very Happy,4,1,5,1,0.8582
GSS_2049,30-44,Lt High School,Q4 (High),Moderate,Pretty Happy,1,4,4,0,1.2132
